Player,Season,Age
DMITRIJ.JASKIN,20152016,22
JOSH.JOORIS,20152016,25
DAN.HAMHUIS,20152016,33
NICK.SPALING,20152016,27
MICHAL.ROZSIVAL,20152016,37
RYAN.CARTER,20152016,32
BEAU.BENNETT,20152016,24
NICOLAS.DESLAURIERS,20152016,24
TEEMU.PULKKINEN,20152016,24
CHRIS.THORBURN,20152016,32
RADEK.FAKSA,20152016,22
MATT.HENDRICKS,20152016,34
MARC.METHOT,20152016,30
KYLE.CHIPCHURA,20152016,29
OSCAR.KLEFBOM,20152016,22
EVGENY.MEDVEDEV,20152016,33
JORDIE.BENN,20152016,28
DERYK.ENGELLAND,20152016,33
CHRISTIAN.EHRHOFF,20152016,33
JOSH.GORGES,20152016,31
JYRKI.JOKIPAKKA,20152016,24
DENNIS.SEIDENBERG,20152016,34
IAN.COLE,20152016,26
ALEXEI.EMELIN,20152016,29
CHRIS.TERRY,20152016,26
FRANK.VATRANO,20152016,21
KYLE.BRODZIAK,20152016,31
ERIK.CONDRA,20152016,29
NICK.COUSINS,20152016,22
QUINTON.HOWDEN,20152016,24
CEDRIC.PAQUETTE,20152016,22
JASON.GARRISON,20152016,31
BRANDON.DAVIDSON,20152016,24
ANDREAS.MARTINSEN,20152016,25
KYLE.QUINCEY,20152016,30
BRYAN.RUST,20152016,23
GREGORY.CAMPBELL,20152016,32
TYLER.ENNIS,20152016,26
JAY.MCCLEMENT,20152016,32
BRENDEN.DILLON,20152016,25
ALEXEY.MARCHENKO,20152016,24
R.J..UMBERGER,20152016,33
STEPHEN.GIONTA,20152016,32
MARK.PYSYK,20152016,24
ANDY.ANDREOFF,20152016,24
BOBBY.FARNHAM,20152016,27
CONOR.SHEARY,20152016,23
MARKUS.GRANLUND,20152016,22
ADAM.CRACKNELL,20152016,30
MARKO.DA?O,20152016,21
LANDON.FERRARO,20152016,24
MIIKKA.SALOMAKI,20152016,22
JOEL.ARMIA,20152016,22
PHILLIP.DANAULT,20152016,22
JONATHAN.DROUIN,20152016,20
BRIAN.FLYNN,20152016,27
BEN.LOVEJOY,20152016,31
DARNELL.NURSE,20152016,20
BROOKS.ORPIK,20152016,35
NICK.SHORE,20152016,23
AUSTIN.WATSON,20152016,24
MARK.BARBERIO,20152016,25
MATT.HUNWICK,20152016,30
BEN.CHIAROT,20152016,24
BRAYDON.COBURN,20152016,30
NICK.SCHULTZ,20152016,33
RYAN.MURPHY,20152016,22
ROB.SCUDERI,20152016,37
DANIEL.CARR,20152016,24
BRANDON.SUTTER,20152016,26
DENNIS.RASMUSSEN,20152016,25
JARRET.STOLL,20152016,33
JORDIN.TOOTOO,20152016,32
KYLE.CLIFFORD,20152016,25
RYAN.DZINGEL,20152016,23
CARL.GUNNARSSON,20152016,29
NIKITA.NESTEROV,20152016,22
MAGNUS.PAAJARVI,20152016,24
DALTON.PROUT,20152016,25
MATT.CARLE,20152016,31
ERIK.GUDBRANSON,20152016,24
JAMIE.MCBAIN,20152016,27
KERBY.RYCHEL,20152016,21
JOEL.EDMUNDSON,20152016,22
SCOTT.GOMEZ,20152016,36
ADAM.MCQUAID,20152016,29
RICHARD.PANIK,20152016,24
OLIVER.BJORKSTRAND,20152016,20
RENE.BOURQUE,20152016,34
CODY.HODGSON,20152016,25
ZACK.KASSIAN,20152016,25
SHEA.THEODORE,20152016,20
KLAS.DAHLBECK,20152016,24
PATRIK.ELIAS,20152016,39
JAKUB.KINDL,20152016,28
LUCA.SBISA,20152016,26
CODY.GOLOUBEF,20152016,26
ANDREW.MACDONALD,20152016,29
PATRIK.NEMETH,20152016,23
ERIC.NYSTROM,20152016,32
LOGAN.SHAW,20152016,24
TANNER.GLASS,20152016,32
CHRIS.PORTER,20152016,31
NATHAN.GERBE,20152016,28
NICKLAS.GROSSMANN,20152016,31
MICHAEL.LATTA,20152016,24
CAL.O'REILLY,20152016,29
DAINIUS.ZUBRUS,20152016,37
LANCE.BOUMA,20152016,25
JONAS.BRODIN,20152016,22
MARK.FAYNE,20152016,28
CORBAN.KNIGHT,20152016,25
ZBYNEK.MICHALEK,20152016,33
MAX.TALBOT,20152016,31
ZACH.TROTMAN,20152016,25
ADAM.CLENDENING,20152016,23
BRANDON.MANNING,20152016,25
MARTIN.MARINCIN,20152016,23
WILLIE.MITCHELL,20152016,38
JOE.MORROW,20152016,23
GREG.PATERYN,20152016,25
BRANDON.PRUST,20152016,31
MIKE.REILLY,20152016,22
ALEX.BIEGA,20152016,27
DERRICK.POULIOT,20152016,22
YANNICK.WEBER,20152016,27
TYLER.RANDELL,20152016,24
SCOTT.WILSON,20152016,23
ZACH.HYMAN,20152016,23
TOMAS.JURCO,20152016,23
TY.RATTIE,20152016,22
COLTON.SISSONS,20152016,22
CHRIS.WAGNER,20152016,24
STEVE.DOWNIE,20152016,28
NATE.THOMPSON,20152016,31
VIKTOR.TIKHONOV,20152016,27
STEFAN.ELLIOTT,20152016,25
PAUL.GAUSTAD,20152016,33
BRAD.MALONE,20152016,26
NIC.PETAN,20152016,20
ZACH.REDMOND,20152016,27
BEN.SMITH,20152016,27
STEVE.BERNIER,20152016,30
ANTHONY.BITETTO,20152016,25
CONNOR.BROWN,20152016,22
TAYLOR.CHORNEY,20152016,28
FRANK.CORRADO,20152016,22
ERIC.GELINAS,20152016,24
ERIC.GRYBA,20152016,27
JIRI.SEKAC,20152016,23
CLAYTON.STONER,20152016,30
BRIAN.STRAIT,20152016,28
JOEL.HANLEY,20152016,24
JOSH.LEIVO,20152016,22
BRANDON.MASHINTER,20152016,27
MASON.RAYMOND,20152016,30
MIKE.BLUNDEN,20152016,29
ROCCO.GRIMALDI,20152016,22
MIKE.BROWN,20152016,30
BYRON.FROESE,20152016,24
JOONAS.KEMPPAINEN,20152016,27
JAKUB.NAKLADAL,20152016,28
NICK.PAUL,20152016,20
MIKE.RICHARDS,20152016,30
NIKITA.SOSHNIKOV,20152016,22
DAVE.BOLLAND,20152016,29
CONNOR.BRICKLEY,20152016,23
CARLO.COLAIACOVO,20152016,33
DARREN.DIETZ,20152016,22
BARRET.JACKMAN,20152016,34
JON.MERRILL,20152016,23
ANTHONY.PELUSO,20152016,26
SHAWN.THORNTON,20152016,38
MIKE.WEBER,20152016,28
JORDAN.NOLAN,20152016,26
JORDAN.OESTERLE,20152016,23
PATRICK.WIERCIOCH,20152016,25
MARK.ARCOBELLO,20152016,27
CHRIS.HIGGINS,20152016,32
BROCK.MCGINN,20152016,21
RYAN.REAVES,20152016,29
MIKE.SISLO,20152016,28
BRANDON.BOLLIG,20152016,29
CONNOR.CARRICK,20152016,21
DAVID.CLARKSON,20152016,31
DYLAN.DEMELO,20152016,22
PASCAL.DUPUIS,20152016,36
BOYD.GORDON,20152016,32
MAX.MCCORMICK,20152016,23
DYLAN.MCILRATH,20152016,23
RYAN.PULOCK,20152016,21
NICK.RITCHIE,20152016,20
JORDAN.SCHROEDER,20152016,25
VIKTOR.SVEDBERG,20152016,24
JIRI.TLUSTY,20152016,27
JOSH.ANDERSON,20152016,21
GABRIEL.BOURQUE,20152016,25
DAVE.DZIURZYNSKI,20152016,26
ALEX.SEMIN,20152016,31
OSKAR.SUNDQVIST,20152016,21
MATT.TENNYSON,20152016,25
ANDREW.BODNARCHUK,20152016,27
RICH.CLUNE,20152016,28
JARED.COWEN,20152016,25
SIMON.DESPRES,20152016,24
JUSTIN.FALK,20152016,27
CHRISTIAN.FOLIN,20152016,24
STEVEN.KAMPFER,20152016,27
MARCUS.KRUGER,20152016,25
CASEY.NELSON,20152016,23
ADAM.PARDY,20152016,31
ROBERT.BORTUZZO,20152016,26
ANTHONY.MANTHA,20152016,21
MATT.PUEMPEL,20152016,23
HUNTER.SHINKARUK,20152016,21
JOAKIM.ANDERSSON,20152016,26
CHRIS.BIGRAS,20152016,20
JARED.BOLL,20152016,29
TYLER.GAUDET,20152016,22
STEPHEN.JOHNS,20152016,23
TANNER.KERO,20152016,23
ANTON.LANDER,20152016,24
BRENDAN.LEIPSIC,20152016,21
MICHAEL.MERSCH,20152016,23
ZAC.RINALDO,20152016,25
TIM.SCHALLER,20152016,25
MARK.STUART,20152016,31
FEDOR.TYUTIN,20152016,32
PHILIP.VARONE,20152016,25
STANISLAV.GALIEV,20152016,24
BARCLAY.GOODROW,20152016,22
MATT.HALISCHUK,20152016,27
GARNET.HATHAWAY,20152016,24
KORBINIAN.HOLZER,20152016,27
SCOTT.KOSMACHUK,20152016,22
SERGEI.PLOTNIKOV,20152016,25
KEVIN.PORTER,20152016,29
NATE.PROSSER,20152016,29
CHRIS.KELLY,20152016,35
GREG.MCKEGG,20152016,23
PAUL.POSTMA,20152016,26
DEREK.RYAN,20152016,29
DANIEL.SPRONG,20152016,18
MARK.BOROWIECKI,20152016,26
PATRICK.BROWN,20152016,23
MICHAEL.CHAPUT,20152016,23
HUDSON.FASCHING,20152016,20
DEREK.FORBORT,20152016,23
TOM.GILBERT,20152016,33
NIKOLAY.GOLDOBIN,20152016,20
FREDDIE.HAMILTON,20152016,24
DUSTIN.JEFFREY,20152016,27
LUCAS.LESSIO,20152016,23
STEFAN.MATTEAU,20152016,21
MICHAEL.MCCARRON,20152016,20
JAYSON.MEGNA,20152016,25
DREW.MILLER,20152016,31
BLAKE.PIETILA,20152016,22
BUDDY.ROBINSON,20152016,24
EVAN.RODRIGUES,20152016,22
NIKITA.TRYAMKIN,20152016,21
DAVID.WARSOFSKY,20152016,25
ANDREW.AGOZZINO,20152016,25
BRYAN.BICKELL,20152016,29
FREDRIK.CLAESSON,20152016,23
PETTER.GRANBERG,20152016,23
CHARLES.HUDON,20152016,21
JUJHAR.KHAIRA,20152016,21
TOBIAS.LINDBERG,20152016,20
VIKTOR.LOOV,20152016,23
TRAVIS.MOEN,20152016,33
AARON.NESS,20152016,25
BRIAN.O'NEILL,20152016,27
JAMIE.OLEKSIAK,20152016,23
STEVE.OTT,20152016,33
ADAM.PELECH,20152016,21
DAVID.RUNDBLAD,20152016,25
CHRISTIAN.THOMAS,20152016,23
PAVEL.ZACHA,20152016,18
NIKITA.ZADOROV,20152016,20
MIKE.ANGELIDIS,20152016,30
TJ.BRENNAN,20152016,26
PAUL.CAREY,20152016,27
ZAC.DALPE,20152016,26
LAURENT.DAUPHIN,20152016,20
JASON.DICKINSON,20152016,20
KEVIN.FIALA,20152016,19
BRENDAN.GAUNCE,20152016,21
LUKE.GAZDIC,20152016,26
MICHEAL.HALEY,20152016,29
MARTIN.HAVLAT,20152016,34
MICHAL.JORDAN,20152016,25
ROB.KLINKHAMMER,20152016,29
SCOTT.MAYFIELD,20152016,23
COLIN.MCDONALD,20152016,31
ALAN.QUINE,20152016,22
PATRICK.SIELOFF,20152016,21
ZACH.SILL,20152016,27
NOEL.ACCIARI,20152016,24
ANDREW.CAMPBELL,20152016,27
TOMMY.CROSS,20152016,26
CRAIG.CUNNINGHAM,20152016,25
JACOB.DE LA ROSE,20152016,20
TURNER.ELSON,20152016,23
TAYLOR.FEDUN,20152016,27
JOHAN.FRANZEN,20152016,36
FREDERIK.GAUTHIER,20152016,20
BRANDON.GORMLEY,20152016,23
YANNI.GOURDE,20152016,24
DEREK.GRANT,20152016,25
SETH.GRIFFITH,20152016,23
BEN.HARPUR,20152016,21
SCOTT.HARRINGTON,20152016,22
RYAN.HARTMAN,20152016,21
SETH.HELGESON,20152016,25
MAREK.HRIVIK,20152016,24
BRACKEN.KEARNS,20152016,34
SLATER.KOEKKOEK,20152016,21
MICHAEL.KOSTKA,20152016,30
JC.LIPON,20152016,22
SONNY.MILANO,20152016,19
NIKITA.NIKITIN,20152016,29
DYLAN.OLSEN,20152016,25
XAVIER.OUELLET,20152016,22
GRIFFIN.REINHART,20152016,22
BRETT.RITCHIE,20152016,22
TUOMO.RUUTU,20152016,32
JOHN.SCOTT,20152016,33
TOM.SESTITO,20152016,28
DREW.SHORE,20152016,25
DOMINIK.SIMON,20152016,21
ANTON.SLEPYSHEV,20152016,21
SERGEY.TOLCHINSKY,20152016,20
JOEL.VERMIN,20152016,23
TYLER.WOTHERSPOON,20152016,22
MICHAEL.ZALEWSKI,20152016,23
KENNY.AGOSTINO,20152016,23
JOSH.ARCHIBALD,20152016,23
JUSTIN.BAILEY,20152016,20
VICTOR.BARTLEY,20152016,27
CODY.BASS,20152016,29
KYLE.BAUN,20152016,23
TAYLOR.BECK,20152016,24
ANDRE.BENOIT,20152016,32
CHRISTOPH.BERTSCHY,20152016,21
ERIC.BOULTON,20152016,39
CHRIS.BROWN,20152016,24
BRETT.BULMER,20152016,23
CHRIS.BUTLER,20152016,29
JORDAN.CARON,20152016,25
RYAN.CARPENTER,20152016,25
SAM.CARRICK,20152016,23
TREVOR.CARRICK,20152016,21
DANIEL.CATENACCI,20152016,22
SEAN.COLLINS,20152016,27
PATRICE.CORMIER,20152016,25
CHASE.DE LEO,20152016,20
NIC.DOWD,20152016,25
MORGAN.ELLIS,20152016,23
DENNIS.EVERBERG,20152016,24
ANDREW.FERENCE,20152016,36
MAX.FRIBERG,20152016,23
ALEX.FRIESEN,20152016,25
KURTIS.GABRIEL,20152016,22
MARC-ANDRE.GRAGNANI,20152016,28
ALEX.GRANT,20152016,27
TYLER.GRAOVAC,20152016,22
KEVIN.GRAVEL,20152016,23
MATT.GREENE,20152016,32
ALEX.GRENIER,20152016,24
NATE.GUENIN,20152016,33
MARKUS.HANNIKAINEN,20152016,22
VINCENT.HINOSTROZA,20152016,21
BUD.HOLLOWAY,20152016,27
BRAD.HUNT,20152016,27
MATT.IRWIN,20152016,28
TIM.JACKMAN,20152016,34
ROSS.JOHNSTON,20152016,21
RYAN.JOHNSTON,20152016,23
KASPERI.KAPANEN,20152016,19
RONALDS.KENINS,20152016,24
MICHAEL.KERÄNEN,20152016,26
ALEX.KHOKHLACHEV,20152016,22
DEAN.KUKAN,20152016,22
BRETT.KULAK,20152016,22
OLIVER.KYLINGTON,20152016,18
TAYLOR.LEIER,20152016,21
BRYAN.LERG,20152016,30
BRETT.LERNOUT,20152016,20
PETTERI.LINDBOHM,20152016,22
ESA.LINDELL,20152016,21
CLARKE.MACARTHUR,20152016,30
MICHAEL.MATHESON,20152016,21
JOHN.MCCARTHY,20152016,29
JOHN.MCFARLAND,20152016,23
TYE.MCGINN,20152016,25
CURTIS.MCKENZIE,20152016,24
MARK.MCNEILL,20152016,22
JULIAN.MELCHIORI,20152016,24
ANDREW.MILLER,20152016,27
JOSH.MORRISSEY,20152016,20
KAEL.MOUILLIERAT,20152016,28
VOJTECH.MOZIK,20152016,23
MIRCO.MUELLER,20152016,20
STEFAN.NOESEN,20152016,22
TOMAS.NOSEK,20152016,23
JIM.OBRIEN,20152016,27
GUSTAV.OLOFSSON,20152016,21
DANIEL.PAILLE,20152016,31
MICHAEL.PALIOTTA,20152016,22
ANDREY.PEDAN,20152016,22
STUART.PERCY,20152016,22
EMILE.POIRIER,20152016,21
COREY.POTTER,20152016,32
JOHN.RAMAGE,20152016,24
MIKKO.RANTANEN,20152016,19
KYLE.RAU,20152016,23
BRENT.REGNER,20152016,26
BORNA.RENDULIC,20152016,23
CHAD.RUHWEDEL,20152016,25
PHILIP.SAMUELSSON,20152016,24
STEVEN.SANTINI,20152016,20
COLE.SCHNEIDER,20152016,25
JEFF.SCHULTZ,20152016,29
ERIC.SELLECK,20152016,28
MICHAEL.SGARBOSSA,20152016,23
DEVIN.SHORE,20152016,21
BRADY.SKJEI,20152016,21
LADISLAV.SMID,20152016,29
RYAN.STANTON,20152016,26
CHANDLER.STEPHENSON,20152016,21
TYSON.STRACHAN,20152016,31
BEN.STREET,20152016,28
BRAD.STUART,20152016,36
CHRIS.SUMMERS,20152016,27
BRODY.SUTTER,20152016,24
BRANDON.TANEV,20152016,24
ERIC.TANGRADI,20152016,26
MATT.TAORMINA,20152016,29
PAUL.THOMPSON,20152016,27
JARRED.TINORDI,20152016,23
RINAT.VALIEV,20152016,20
JOE.VITALE,20152016,30
JORDAN.WEAL,20152016,23
JEREMY.WELSH,20152016,27
GARRETT.WILSON,20152016,24
JAMES.WISNIEWSKI,20152016,31
LUKE.WITKOWSKI,20152016,25
MILES.WOOD,20152016,20
BRENDAN.WOODS,20152016,23
HARRY.ZOLNIERCZYK,20152016,28
MARKO.DANO,20152016,21
